epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,13398.4,1.05789,0.6853,1.15535,0.95531,0.91851,0.96917,0.74066,0.95807,0.56761,1.06456,0.000363239,0.000363239,0.000363239
81,13452,1.00397,0.69219,1.14119,0.94614,0.93345,0.96997,0.72528,0.97676,0.54862,1.07418,0.000346736,0.000346736,0.000346736
82,13507.5,1.02842,0.68899,1.13203,0.89675,0.99206,0.97494,0.726,0.9716,0.53775,1.07206,0.000330233,0.000330233,0.000330233
83,13560.8,1.0252,0.67202,1.1569,0.93669,0.94127,0.97547,0.73462,0.94936,0.54068,1.05925,0.000313729,0.000313729,0.000313729
84,13615.5,1.00561,0.64881,1.14066,0.944,0.94048,0.96503,0.7398,0.9304,0.54934,1.05226,0.000297226,0.000297226,0.000297226
85,13669.5,1.00054,0.65102,1.12217,0.94302,0.94048,0.9609,0.7456,0.89967,0.53921,1.0401,0.000280723,0.000280723,0.000280723
86,13724.4,1.03712,0.66758,1.14181,0.93732,0.94048,0.95896,0.74954,0.88912,0.5341,1.04342,0.00026422,0.00026422,0.00026422
87,13779.4,0.97573,0.65128,1.11791,0.93404,0.9351,0.96351,0.75727,0.88196,0.53673,1.04075,0.000247716,0.000247716,0.000247716
88,13832.6,0.99478,0.65109,1.13105,0.94375,0.94048,0.95533,0.74799,0.88199,0.52247,1.03189,0.000231213,0.000231213,0.000231213
89,13887.7,0.97973,0.63048,1.11097,0.93174,0.94048,0.95974,0.76103,0.86568,0.52087,1.02091,0.00021471,0.00021471,0.00021471
90,13941.1,1.00283,0.6603,1.12828,0.92551,0.93265,0.97034,0.77558,0.83817,0.51019,1.01402,0.000198206,0.000198206,0.000198206
91,13993.9,0.9267,0.5443,1.116,0.90104,0.98619,0.98095,0.76698,0.8763,0.50149,1.0183,0.000181703,0.000181703,0.000181703
92,14046.9,0.8989,0.54366,1.0889,0.94318,0.98419,0.98365,0.75914,0.86309,0.49523,1.01381,0.0001652,0.0001652,0.0001652
93,14099.5,0.88668,0.50136,1.07997,0.95114,0.98271,0.98415,0.77476,0.86521,0.49126,1.01798,0.000148696,0.000148696,0.000148696
94,14153.8,0.87769,0.52292,1.10043,0.95136,0.98004,0.98415,0.77967,0.83303,0.48381,1.00703,0.000132193,0.000132193,0.000132193
95,14207,0.87666,0.51955,1.07209,0.94807,0.97488,0.98406,0.784,0.82264,0.4853,1.00429,0.00011569,0.00011569,0.00011569
96,14259.9,0.83596,0.5113,1.05924,0.92379,0.98413,0.98139,0.77471,0.81633,0.48628,1.00258,9.91865e-05,9.91865e-05,9.91865e-05
97,14312.7,0.84676,0.51091,1.08658,0.92361,0.98413,0.98123,0.79378,0.81016,0.4833,0.99999,8.26832e-05,8.26832e-05,8.26832e-05
98,14365.7,0.83049,0.50829,1.08349,0.93571,0.95654,0.98358,0.79528,0.79614,0.48044,0.99464,6.61799e-05,6.61799e-05,6.61799e-05
99,14418.2,0.82003,0.4822,1.05628,0.91087,0.98432,0.98375,0.79991,0.7868,0.48116,0.99243,4.96766e-05,4.96766e-05,4.96766e-05
100,14472.5,0.81965,0.48359,1.04305,0.94735,0.95308,0.98664,0.79345,0.78536,0.48,0.99217,3.31733e-05,3.31733e-05,3.31733e-05
